WP,LAT,LONG
LP502,13 25 07.6270 N,089 07 04.1990 W
LP504,13 28 47.3150 N,089 11 05.0610 W
LP506,13 24 09.5690 N,089 13 09.3040 W
LP508,13 28 04.8910 N,089 23 27.6990 W
LP510,13 33 03.0070 N,089 29 19.4890 W
LP512,13 34 45.9470 N,089 32 34.3970 W
LP516,13 20 08.8750 N,089 08 10.3950 W
LP518,13 19 26.5290 N,089 07 00.1270 W
LP520,13 19 36.1250 N,089 04 38.2530 W
LP522,13 42 42.3230 N,089 40 44.2790 W
LP524,13 16 42.0490 N,088 58 44.3500 W
LP526,13 29 46.0780 N,089 10 47.8450 W
LP528,13 08 51.8820 N,088 53 10.5580 W
LP530,13 09 53.9480 N,088 38 18.5250 W
LP532,13 08 12.4570 N,088 35 24.1590 W
LP533,13 00 01.7800 N,088 53 25.9250 W
LP534,13 23 38.8420 N,088 56 22.8870 W
LP536,13 23 02.7500 N,089 12 53.7380 W
LP538,13 27 41.2880 N,088 48 07.2450 W
LP540,13 42 21.7910 N,088 18 00.1070 W
LP542,13 44 07.5340 N,088 13 17.3570 W
LP544,12 51 46.8640 N,088 17 12.7560 W
LP548,13 43 33.0920 N,088 45 13.4340 W
LP550,13 58 11.5920 N,088 59 18.8110 W
LP552,14 04 38.5210 N,089 01 02.1290 W
LP554,13 29 00.7400 N,089 16 47.1240 W
LP555,13 01 28.5740 N,088 13 08.7950 W
LP556,13 33 40.1360 N,089 12 01.7290 W
LP558,13 35 05.3650 N,089 10 34.6150 W
LP559,13 36 38.5130 N,089 09 16.7470 W
LP560,13 39 25.3480 N,089 07 58.0000 W
LP562,13 41 21.1980 N,089 07 24.0030 W
LP564,13 43 39.6800 N,089 06 43.3520 W
LP566,13 45 04.2230 N,088 09 47.4400 W
LP568,13 50 01.8870 N,089 04 51.0840 W
LP570,13 51 21.8560 N,089 04 27.5810 W
LP572,13 52 43.3250 N,089 04 05.1970 W
LP574,13 58 43.4660 N,089 05 46.7440 W
